AlwaysSimulateESG,true
InflationAdjusted,false
InflationModel,1100701
PercentileInterpolation,PERCENTILE.EXC
Scenarios,5000
Threads,
effective_date,2016-12-31
name,ESGoutputs_July2016
output_file,c:\Foresight\Results\ESGoutputs_July2016.csv
threads,
time_step_sizes,
time_steps,30
version,1.5.1.7
build_notes,FSCE-308 - Fix spelling error in input parsing. Fri Feb 3 15:16:55 AUSEDT 2017 4446e8aae0193b05001f8989587ec87749ebea1d

Operator Key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,all
AVERAGE::QAWE_RATE::OAWE_RATE_Average::RATE::::avg:,1.00000000000000000000,0.02266949509723638000,0.02566383997447184800,0.02821520519065726800,0.03037695192422193100,0.03226931021266342400,0.03392848850379664300,0.03474750995357619300,0.03545947555418511200,0.03637330007289917700,0.03701048940793324300,0.03756058442118796100,0.03797091726318106000,0.03803428465271809600,0.03806890461749520800,0.03833807007055125400,0.03879856976371651200,0.03883651033228371200,0.03919034419450546200,0.03957553998178529200,0.03980068286955190700,0.03999738762361330900,0.04028751669641755800,0.04021263033281795300,0.04031957591318144400,0.04020292613224748400,0.04036454004830181100,0.04019779168790060800,0.04015342465873949400,0.04022074185303056000,0.04008024590778552800,
AVERAGE::QAustralianCash_TOTALRETURN::OAustralianCash_TOTALRETURN_Average::TOTALRETURN::::avg:,0.00000000000000000000,0.01553772722656422900,0.02023360071725218200,0.02509219991679941700,0.02758657537502276800,0.02913995374937122800,0.03078706205634826300,0.03282702851194105300,0.03531600344194883700,0.03735681808852678300,0.03936709439157402200,0.03950048113436005500,0.03947277786121847200,0.03934777448199034500,0.03948492940037002400,0.03957690825974472700,0.03963973280873234900,0.03988331349464027700,0.03997068095485739600,0.04018435992657152400,0.04027883291998685800,0.04043243535967745000,0.04047063018630774100,0.04041191331991693400,0.04022190858817334400,0.04018020463746249000,0.04027166087644684000,0.04020158202612229800,0.04014538509944200900,0.03998144850576003400,0.03985986469559254400,
AVERAGE::QAustralianDirectProperty_TOTALRETURN::OAustralianDirectProperty_TOTALRETURN_Average::TOTALRETURN::::avg:,0.00000000000000000000,0.05731364631458880900,0.06225153813729279000,0.06708314011186118600,0.06893421114892976700,0.07114564351984134500,0.07289168669002982200,0.07572062671826788900,0.07726649925413856000,0.07937323590880172900,0.07935288598742674900,0.08162686533129658000,0.08154663662135920600,0.08196506036529631300,0.08172337272582094700,0.08310695075331484000,0.08179034777561979000,0.08225580123701103900,0.08294413599498411100,0.08205034558642303200,0.08402147849667791800,0.08331312474539485900,0.08419292846416531800,0.08325569840084211200,0.08369201388911817800,0.08049050216814943000,0.08310764811417487000,0.08123610002966685800,0.08102007041045999900,0.08224869476316563900,0.07977352290730609100,
AVERAGE::QAustralianEquities_TOTALRETURN::OAustralianEquities_TOTALRETRUN_Average::TOTALRETURN::::avg:,0.00000000000000000000,0.07010349232459853200,0.07816916549390019700,0.08578584740717948300,0.08646489906051611800,0.09138316338824924200,0.09065701785631089000,0.08886916052943169600,0.09667909950635582300,0.09473964505772269900,0.09445220237445994800,0.10023799248754403000,0.09801492265075803500,0.09891279021045100400,0.09974651861602032400,0.10121871723673111000,0.10241536630344587000,0.10095784467558405000,0.09565582306846492900,0.10114770601325296000,0.09744748837519730300,0.10057534294263319000,0.10056326137849014000,0.09820873766530617600,0.10077792078019536000,0.09939704074788947900,0.10075296099531494000,0.09861548663712760300,0.10019575984378484000,0.10412926738059720000,0.10145149745739630000,
AVERAGE::QAustralianFixedInterestCorp_TOTALRETURN::OAustralianFixedInterestCorp_TOTALRETURN_Average::TOTALRETURN::::avg:,0.00000000000000000000,0.03625011314598165100,0.04014434590306496800,0.04621668527453134900,0.04829084777213028100,0.05023716394540354800,0.05167843222919379900,0.05456619611128672000,0.05725480556060239000,0.05933715783523368900,0.05970897876866047100,0.06088736421864955600,0.06061305205977428300,0.06213096733729993300,0.06019885386476860100,0.05996799673835586500,0.06099953924187356100,0.06119350176929837900,0.06146146006471552700,0.06208719474728649500,0.06178067939302346600,0.06231925650267049900,0.06305904896382870400,0.06334101089926169600,0.06090981185779054100,0.06081642982279075700,0.06186213982379171200,0.06240581139273998500,0.06194564032305120000,0.06098317028271611800,0.06106103842759880900,
AVERAGE::QAustralianFixedInterestGovt_TOTALRETURN::OAustralianFixedInterestGovt_TOTALRETURN_Average::TOTALRETURN::::avg:,0.00000000000000000000,0.02127947100163417300,0.02443487496946300200,0.03053846990519378000,0.03264818552796350900,0.03407295982764049800,0.03602056521184793900,0.03913968294759393600,0.04091473163846472100,0.04332966257996980600,0.04402161955327030300,0.04482390027987661500,0.04385461492124173600,0.04437008472676180800,0.04459222338904587200,0.04443800999157273400,0.04528747972506704000,0.04616492171656892700,0.04542644772464405500,0.04565709546314555100,0.04520397571432951300,0.04596284364464844900,0.04592564951445121700,0.04666364665998797000,0.04562985754632452300,0.04546806112785709000,0.04560135962126318800,0.04535435921120165700,0.04525510208781891700,0.04490406075777760000,0.04564720891704684300,
AVERAGE::QAustralianInfrastructure_TOTALRETURN::OAustralianInfrastructure_TOTALRETURN_Average::TOTALRETURN::::avg:,0.00000000000000000000,0.06778336125530215500,0.07116244072351361700,0.07555433035833683500,0.08043360208315725200,0.08138450341151008700,0.08088760307557234200,0.08560534544396876400,0.09066347637493946100,0.08677666332673521200,0.08827120701250927600,0.09248837936291785800,0.09159636308748125800,0.09349798659935286400,0.09119208126426256400,0.09104015545727650600,0.09380444455003807100,0.08954758960153530500,0.09268075542667191000,0.09102694217872661600,0.09054582120385038000,0.09089033106668517600,0.09317681275774912500,0.09063052742754054700,0.09424358606252950000,0.09587119767194922400,0.09360202616265447800,0.09308172918664835100,0.09381480150404618300,0.09255233251589803400,0.09489736749585212000,
AVERAGE::QAustralianListedProperty_TOTALRETURN::OAustralianListedProperty_TOTALRETURN_Average::TOTALRETURN::::avg:,0.00000000000000000000,0.05361394251617475300,0.05905513881359465700,0.06471154171922341400,0.06850260096436651400,0.06846343488100759000,0.07337516880760115700,0.07392735481435550000,0.08039606614574434900,0.08093120357729309500,0.07969607992983865400,0.08371402179282343100,0.08191427560373498700,0.08111917430183651600,0.08319762859342230700,0.08179770144461237500,0.08226316191893029400,0.08287555665902265900,0.08133186733845801400,0.08314029309376581900,0.08651902249602881600,0.08211095985012303900,0.08109382079438860700,0.08391441300893462400,0.08489404139430126200,0.08253495648818454100,0.08387740114297263800,0.08054218205108337700,0.08314494708489372800,0.08383297409913147100,0.08250448437674197400,
AVERAGE::QCPI_RATE::OCPI_RATE_Average::RATE::::avg:,1.00000000000000000000,0.01510481370301698100,0.01703062639881523400,0.01861910310732612900,0.01971059476541180800,0.02079189025611862300,0.02178429236620240900,0.02211095029140669100,0.02247037826069935700,0.02313478925007351700,0.02336490229762309300,0.02362664053611297400,0.02380014385964021600,0.02425615087070048500,0.02452965112376682600,0.02462783977319228300,0.02479163719837054100,0.02494453116389955600,0.02496108154253810100,0.02509765334719641500,0.02531711320154138300,0.02533867813149800300,0.02531165979870474800,0.02523456446823725600,0.02512248869642225200,0.02529191477965289600,0.02516227628889976900,0.02527716463347855600,0.02521182541201083500,0.02513469258765158700,0.02524505563275457700,
AVERAGE::QEmergingMarketEquities_TOTALRETURN::OEmergingMarketEquities_TOTALRETURN_Average::TOTALRETURN::::avg:,0.00000000000000000000,0.09635741970268453500,0.10559504464999654000,0.10883652418965134000,0.11496389460115265000,0.11652276700487205000,0.11476258365293407000,0.12126621967439546000,0.11854118697667837000,0.12084471848777145000,0.12355056749288686000,0.12751039243849319000,0.12515552909265923000,0.12305833551689484000,0.12831364948829344000,0.13059294691075843000,0.12675685978032206000,0.12703531754193245000,0.12661699231309398000,0.12748055573314029000,0.12156885438070687000,0.12760223981431831000,0.12587070955519747000,0.12456719371435999000,0.13437901781518397000,0.12789710322679279000,0.12676046963122570000,0.12094831630221391000,0.13064841766441532000,0.12979268059625904000,0.13078466371295644000,
